user_id,item_id,skill_id,correct,order_id
1,decimal_comparison_q1,decimal_comparison,0,0
1,decimal_comparison_q2,decimal_comparison,1,1
1,decimal_comparison_q3,decimal_comparison,1,2
1,decimal_comparison_q4,decimal_comparison,1,3
1,decimal_comparison_q5,decimal_comparison,1,4
1,decimal_comparison_q6,decimal_comparison,0,5
1,decimal_comparison_q7,decimal_comparison,1,6
1,decimal_comparison_q8,decimal_comparison,1,7
1,decimal_comparison_q9,decimal_comparison,1,8
1,decimal_comparison_q10,decimal_comparison,0,9
1,decimal_addition_q1,decimal_addition,0,10
1,decimal_addition_q2,decimal_addition,1,11
1,decimal_addition_q3,decimal_addition,1,12
1,decimal_addition_q4,decimal_addition,1,13
1,decimal_addition_q5,decimal_addition,1,14
1,decimal_addition_q6,decimal_addition,1,15
1,decimal_addition_q7,decimal_addition,1,16
1,decimal_addition_q8,decimal_addition,1,17
1,decimal_addition_q9,decimal_addition,1,18
1,decimal_addition_q10,decimal_addition,1,19
1,place_value_q1,place_value,1,20
1,place_value_q2,place_value,1,21
1,place_value_q3,place_value,1,22
1,place_value_q4,place_value,0,23
1,place_value_q5,place_value,1,24
1,place_value_q6,place_value,1,25
1,place_value_q7,place_value,1,26
1,place_value_q8,place_value,1,27
1,place_value_q9,place_value,1,28
1,place_value_q10,place_value,1,29
2,decimal_comparison_q1,decimal_comparison,1,0
2,decimal_comparison_q2,decimal_comparison,0,1
2,decimal_comparison_q3,decimal_comparison,0,2
2,decimal_comparison_q4,decimal_comparison,0,3
2,decimal_comparison_q5,decimal_comparison,1,4
2,decimal_comparison_q6,decimal_comparison,1,5
2,decimal_comparison_q7,decimal_comparison,0,6
2,decimal_comparison_q8,decimal_comparison,1,7
2,decimal_comparison_q9,decimal_comparison,1,8
2,decimal_comparison_q10,decimal_comparison,1,9
2,decimal_addition_q1,decimal_addition,0,10
2,decimal_addition_q2,decimal_addition,1,11
2,decimal_addition_q3,decimal_addition,0,12
2,decimal_addition_q4,decimal_addition,0,13
2,decimal_addition_q5,decimal_addition,1,14
2,decimal_addition_q6,decimal_addition,1,15
2,decimal_addition_q7,decimal_addition,0,16
2,decimal_addition_q8,decimal_addition,1,17
2,decimal_addition_q9,decimal_addition,0,18
2,decimal_addition_q10,decimal_addition,0,19
2,place_value_q1,place_value,1,20
2,place_value_q2,place_value,1,21
2,place_value_q3,place_value,1,22
2,place_value_q4,place_value,0,23
2,place_value_q5,place_value,1,24
2,place_value_q6,place_value,1,25
2,place_value_q7,place_value,1,26
2,place_value_q8,place_value,1,27
2,place_value_q9,place_value,1,28
2,place_value_q10,place_value,1,29
3,decimal_comparison_q1,decimal_comparison,0,0
3,decimal_comparison_q2,decimal_comparison,0,1
3,decimal_comparison_q3,decimal_comparison,0,2
3,decimal_comparison_q4,decimal_comparison,1,3
3,decimal_comparison_q5,decimal_comparison,0,4
3,decimal_comparison_q6,decimal_comparison,1,5
3,decimal_comparison_q7,decimal_comparison,0,6
3,decimal_comparison_q8,decimal_comparison,1,7
3,decimal_comparison_q9,decimal_comparison,1,8
3,decimal_comparison_q10,decimal_comparison,0,9
3,decimal_addition_q1,decimal_addition,1,10
3,decimal_addition_q2,decimal_addition,1,11
3,decimal_addition_q3,decimal_addition,1,12
3,decimal_addition_q4,decimal_addition,0,13
3,decimal_addition_q5,decimal_addition,0,14
3,decimal_addition_q6,decimal_addition,0,15
3,decimal_addition_q7,decimal_addition,1,16
3,decimal_addition_q8,decimal_addition,1,17
3,decimal_addition_q9,decimal_addition,0,18
3,decimal_addition_q10,decimal_addition,0,19
3,place_value_q1,place_value,0,20
3,place_value_q2,place_value,0,21
3,place_value_q3,place_value,1,22
3,place_value_q4,place_value,1,23
3,place_value_q5,place_value,1,24
3,place_value_q6,place_value,0,25
3,place_value_q7,place_value,0,26
3,place_value_q8,place_value,1,27
3,place_value_q9,place_value,1,28
3,place_value_q10,place_value,1,29
4,decimal_comparison_q1,decimal_comparison,1,0
4,decimal_comparison_q2,decimal_comparison,1,1
4,decimal_comparison_q3,decimal_comparison,1,2
4,decimal_comparison_q4,decimal_comparison,1,3
4,decimal_comparison_q5,decimal_comparison,1,4
4,decimal_comparison_q6,decimal_comparison,1,5
4,decimal_comparison_q7,decimal_comparison,1,6
4,decimal_comparison_q8,decimal_comparison,1,7
4,decimal_comparison_q9,decimal_comparison,1,8
4,decimal_comparison_q10,decimal_comparison,1,9
4,decimal_addition_q1,decimal_addition,0,10
4,decimal_addition_q2,decimal_addition,1,11
4,decimal_addition_q3,decimal_addition,1,12
4,decimal_addition_q4,decimal_addition,1,13
4,decimal_addition_q5,decimal_addition,1,14
4,decimal_addition_q6,decimal_addition,1,15
4,decimal_addition_q7,decimal_addition,1,16
4,decimal_addition_q8,decimal_addition,1,17
4,decimal_addition_q9,decimal_addition,0,18
4,decimal_addition_q10,decimal_addition,1,19
4,place_value_q1,place_value,1,20
4,place_value_q2,place_value,0,21
4,place_value_q3,place_value,0,22
4,place_value_q4,place_value,1,23
4,place_value_q5,place_value,0,24
4,place_value_q6,place_value,1,25
4,place_value_q7,place_value,0,26
4,place_value_q8,place_value,0,27
4,place_value_q9,place_value,1,28
4,place_value_q10,place_value,1,29
5,decimal_comparison_q1,decimal_comparison,1,0
5,decimal_comparison_q2,decimal_comparison,1,1
